episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4546.626224637032, 3, 15.789222938999956, 481, 25327,                                             25327, 7.915050506591797, 251.8862762451172
2, -5334.1403995752335, 2, 21.826968566998403, 659, 25986,                                             25986, 8.309311866760254, 257.7475280761719
3, -5689.074323892593, 2, 18.026296075000573, 547, 26533,                                             26533, 8.765366554260254, 265.498291015625
4, -3433.0618422031403, 3, 11.345433672000581, 345, 26878,                                             26878, 8.957083702087402, 269.7176818847656
5, -4056.377254962921, 2, 12.151838891999432, 357, 27235,                                             27235, 8.641416549682617, 271.8851318359375
6, -3672.4874792099, 3, 11.217399838000347, 340, 27575,                                             27575, 8.575605392456055, 276.0750427246094
7, -2978.0227160453796, 2, 9.55916980999973, 285, 27860,                                             27860, 8.715593338012695, 276.11138916015625
8, -3610.688469171524, 2, 12.395309819999966, 377, 28237,                                             28237, 8.525542259216309, 278.23828125
9, -4475.147588968277, 3, 13.144211875998735, 397, 28634,                                             28634, 9.075082778930664, 279.75982666015625
10, -5363.503372848034, 2, 20.261855900000228, 615, 29249,                                             29249, 9.66219711303711, 283.01483154296875
11, -4164.0889937877655, 2, 14.901751106999654, 456, 29705,                                             29705, 9.53102970123291, 288.81365966796875
12, -3582.0484224557877, 2, 14.027776733000792, 430, 30135,                                             30135, 9.517443656921387, 290.87774658203125
13, -3076.597395181656, 2, 7.9946908639994945, 248, 30383,                                             30383, 9.465740203857422, 297.8047180175781
14, -2800.886938869953, 2, 6.380139864999364, 194, 30577,                                             30577, 9.886190414428711, 294.0858459472656
15, -3613.948835015297, 2, 14.019178272999852, 422, 30999,                                             30999, 9.499933242797852, 296.28045654296875
16, -2651.1567543148994, 2, 6.165324023000721, 187, 31186,                                             31186, 9.532496452331543, 299.32843017578125
17, -3163.2850914001465, 2, 7.198082188000626, 219, 31405,                                             31405, 10.143523216247559, 301.72003173828125
18, -3502.041535794735, 2, 15.162462041998879, 453, 31858,                                             31858, 10.015178680419922, 304.5564880371094
19, -2576.811233341694, 2, 5.975947343000371, 185, 32043,                                             32043, 10.284090995788574, 306.21026611328125
20, -3637.9763526916504, 3, 15.994436728000437, 487, 32530,                                             32530, 10.663114547729492, 308.7618408203125
21, -662.5631383657455, 1, 25.856290325998998, 785, 33315,                                             33315, 10.391986846923828, 308.31243896484375
22, -2634.820408821106, 2, 3.580076290998477, 94, 33409,                                             33409, 10.900426864624023, 311.9996643066406
23, -3207.800768017769, 2, 13.407475130999956, 406, 33815,                                             33815, 10.695630073547363, 316.05133056640625
24, -3386.37799179554, 2, 13.010006484999394, 391, 34206,                                             34206, 10.959578514099121, 316.091796875
25, 1683.835536301136, 1, 11.757274990999576, 349, 34555,                                             34555, 11.433907508850098, 321.4923095703125
26, -3353.868531227112, 2, 12.999828186000741, 397, 34952,                                             34952, 11.074682235717773, 319.1916809082031
27, -3268.1558743715286, 2, 11.966584250001688, 360, 35312,                                             35312, 11.437843322753906, 323.3856201171875
28, -3971.2067338228226, 2, 10.803574928000671, 328, 35640,                                             35640, 11.216827392578125, 322.2535400390625
29, -4415.847961783409, 2, 15.167391184000735, 457, 36097,                                             36097, 11.617632865905762, 323.9178466796875
30, -3678.5269436836243, 2, 14.029458275999787, 423, 36520,                                             36520, 11.96608829498291, 330.2004699707031
31, -3194.3913762569427, 2, 7.929418253999756, 241, 36761,                                             36761, 12.242464065551758, 332.0045166015625
32, -4291.113550364971, 2, 26.094224507000035, 759, 37520,                                             37520, 12.38014030456543, 332.6175231933594
33, -3461.319499373436, 2, 14.972535016999245, 437, 37957,                                             37957, 12.837956428527832, 335.83251953125
