episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3528.6985850334167, 2, 30.66356040300161, 211, 211,                                             211, 0.0, 0.0
2, -1737.413239479065, 4, 54.618996456993045, 167, 378,                                             378, 0.0, 0.0
3, -2873.6781616210938, 3, 32.19564892799826, 96, 474,                                             474, 0.0, 0.0
4, -2779.2123346328735, 3, 32.28482387200347, 98, 572,                                             572, 0.0, 0.0
5, -3170.309542655945, 3, 32.50828767300118, 99, 671,                                             671, 0.0, 0.0
6, -3158.265733242035, 3, 32.085502534988336, 98, 769,                                             769, 0.0, 0.0
7, -3172.3876066207886, 3, 32.17515266800183, 98, 867,                                             867, 0.0, 0.0
8, -3228.464400291443, 3, 33.07505655600107, 101, 968,                                             968, 0.0, 0.0
9, -3242.129596233368, 3, 32.856117464994895, 101, 1069,                                             1069, 0.0, 0.0
10, -3188.191336631775, 3, 32.601636863008025, 100, 1169,                                             1169, 0.0, 0.0
11, -3207.1996936798096, 3, 33.09440315600659, 101, 1270,                                             1270, 0.0, 0.0
12, -1807.9507397413254, 4, 65.37260775100731, 198, 1468,                                             1468, 0.0, 0.0
13, -3064.244617462158, 3, 38.22860715299612, 117, 1585,                                             1585, 0.0, 0.0
14, -2831.4930238723755, 3, 31.036573317993316, 93, 1678,                                             1678, 0.0, 0.0
15, -2722.8323583602905, 3, 29.443723502001376, 90, 1768,                                             1768, 0.0, 0.0
16, -2767.3225631713867, 3, 27.78298195300158, 84, 1852,                                             1852, 0.0, 0.0
17, -2881.6285705566406, 2, 29.580418903002283, 92, 1944,                                             1944, 0.0, 0.0
18, -3344.16561794281, 2, 61.18533849999949, 183, 2127,                                             2127, 0.0, 0.0
19, -2774.1478147506714, 3, 32.63123204700241, 99, 2226,                                             2226, 0.0, 0.0
20, -2509.1103885173798, 2, 19.12005180399865, 58, 2284,                                             2284, 0.0, 0.0
21, -2727.300064086914, 3, 32.868522081989795, 97, 2381,                                             2381, 0.0, 0.0
22, -2747.2138628959656, 3, 32.38479186700715, 97, 2478,                                             2478, 0.0, 0.0
23, -2687.123064994812, 3, 31.823747229995206, 96, 2574,                                             2574, 0.0, 0.0
24, -2659.9277391433716, 3, 30.564513827004703, 89, 2663,                                             2663, 0.0, 0.0
25, -2655.655984401703, 3, 31.20369298500009, 94, 2757,                                             2757, 0.0, 0.0
26, -2683.4395632743835, 3, 31.48970666700916, 93, 2850,                                             2850, 0.0, 0.0
27, -2686.7820959091187, 3, 32.368397829995956, 97, 2947,                                             2947, 0.0, 0.0
28, -2668.7073435783386, 3, 31.53718029000447, 94, 3041,                                             3041, 0.0, 0.0
29, -2656.5104632377625, 3, 31.11357414200029, 93, 3134,                                             3134, 0.0, 0.0
30, -2652.130398273468, 3, 30.872850465006195, 93, 3227,                                             3227, 0.0, 0.0
31, -2664.1911392211914, 3, 31.03292446800333, 94, 3321,                                             3321, 0.0, 0.0
32, -2705.8852891921997, 3, 32.34998500200163, 97, 3418,                                             3418, 0.0, 0.0
33, -2676.1507687568665, 3, 32.494094740002765, 97, 3515,                                             3515, 0.0, 0.0
34, -2709.1822180747986, 3, 32.87816537800245, 100, 3615,                                             3615, 0.0, 0.0
35, -2643.0773963928223, 3, 31.333278523001354, 93, 3708,                                             3708, 0.0, 0.0
36, -2657.576877593994, 3, 32.03253058400878, 94, 3802,                                             3802, 0.0, 0.0
37, -2642.0548343658447, 3, 32.070417611001176, 92, 3894,                                             3894, 0.0, 0.0
